studyName,Sample Number,Species,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
PAL0708,11,Chinstrap penguin (Pygoscelis antarctica),Anvers,Dream,"Adult, 1 Egg Stage",N9A2,Yes,11/15/07,47.6,21.2,191.0,3850.0,FEMALE,,,
PAL0809,66,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N54A1,Yes,11/3/08,47.7,15.0,216.0,4750.0,MALE,8.26548,-26.7699,
PAL0809,82,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N6A1,Yes,11/9/07,37.8,17.3,185.0,3700.0,MALE,,,
PAL0809,62,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N6A1,Yes,11/4/08,45.2,13.7,210.0,4300.0,MALE,8.37615,-26.72791,
PAL0809,53,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N38A1,Yes,11/9/08,50.8,14.8,216.0,5200.0,MALE,8.58487,-26.5928,
PAL0809,65,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,No,11/9/08,42.8,14.2,219.0,4700.0,MALE,8.61436,-26.55602,
PAL0708,3,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N60A2,Yes,11/9/08,47.7,16.4,223.0,5950.0,MALE,8.19749,-26.65931,
PAL0809,83,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N47A1,Yes,11/9/07,36.6,18.4,184.0,3475.0,FEMALE,,,
PAL0809,59,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N3A2,No,11/18/07,44.5,13.2,211.0,4550.0,FEMALE,7.993,-25.5139,
PAL0809,35,Gentoo penguin (Pygoscelis papua),Anvers,Biscoe,"Adult, 1 Egg Stage",N16A1,Yes,11/3/08,44.4,17.3,219.0,5250.0,MALE,8.13746,-26.79093,
